mentor_id,mentee_query,vector_distance,success_rating,success
M001,Simulated mentorship request,0.3999999999999999,3,0.0
M002,Simulated mentorship request,0.3999999999999999,3,0.0
M003,Simulated mentorship request,0.25,4,1.0
M001,Simulated mentorship request,0.5499999999999999,2,0.0
M003,Simulated mentorship request,0.1,5,1.0
M001,Simulated mentorship request,0.1,5,1.0
M001,Simulated mentorship request,0.1,5,1.0
M001,Simulated mentorship request,0.7,1,0.0
M002,Simulated mentorship request,0.7,1,0.0
M003,Simulated mentorship request,0.7,1,0.0
M001,Simulated mentorship request,0.5499999999999999,2,0.0
M001,Simulated mentorship request,0.25,4,1.0
M003,Simulated mentorship request,0.1,5,1.0
M002,Simulated mentorship request,0.5499999999999999,2,0.0
M003,Simulated mentorship request,0.1,5,1.0
M003,Simulated mentorship request,0.25,4,1.0
M002,Simulated mentorship request,0.5499999999999999,2,0.0
M001,Simulated mentorship request,0.3999999999999999,3,0.0
M003,Simulated mentorship request,0.5499999999999999,2,0.0
M003,Simulated mentorship request,0.25,4,1.0
M001,Simulated mentorship request,0.3999999999999999,3,0.0
M001,Simulated mentorship request,0.1,5,1.0
M003,Simulated mentorship request,0.7,1,0.0
M001,Simulated mentorship request,0.7,1,0.0
M002,Simulated mentorship request,0.7,1,0.0
M003,Simulated mentorship request,0.7,1,0.0
M002,Simulated mentorship request,0.1,5,1.0
M001,Simulated mentorship request,0.1,5,1.0
M003,Simulated mentorship request,0.3999999999999999,3,0.0
M001,Simulated mentorship request,0.3999999999999999,3,0.0
M001,Simulated mentorship request,0.7,1,0.0
M002,Simulated mentorship request,0.7,1,0.0
M001,Simulated mentorship request,0.1,5,1.0
M002,Simulated mentorship request,0.25,4,1.0
M003,Simulated mentorship request,0.5499999999999999,2,0.0
M003,Simulated mentorship request,0.5499999999999999,2,0.0
M003,Simulated mentorship request,0.1,5,1.0
M001,Simulated mentorship request,0.3999999999999999,3,0.0
M002,Simulated mentorship request,0.3999999999999999,3,0.0
M003,Simulated mentorship request,0.1,5,1.0
M003,Simulated mentorship request,0.7,1,0.0
M003,Simulated mentorship request,0.5499999999999999,2,0.0
M001,Simulated mentorship request,0.5499999999999999,2,0.0
M002,Simulated query for Chloe White,1.0676772594451904,5,1.0
